month,retention_rate,churn_rate,csat,nps,tickets,sla_compliance,aht,revenue_retained,campaign_conversion
2025-01,83.7,16.3,79,31,1406,78.6,18.9,1760447,10.2
2025-02,84.2,15.8,80.5,31,1360,80.6,19,1766651,10.9
2025-03,85.5,14.5,81,28,1429,79.8,18.2,1811581,12.4
2025-04,86,14,82.3,27,1413,82.1,18.4,1852625,12.6
2025-05,86.1,13.9,83.9,25,1399,83.7,18.2,1841876,12.9
2025-06,86,14,83.6,23,1365,82.4,17.9,1894313,13.7
2025-07,85.9,14.1,83.7,29,1248,83,18.3,1897117,14.2
2025-08,85.8,14.2,84.6,28,1273,86.6,18.2,1902741,13.5
2025-09,85.1,14.9,84.2,30,1206,87.3,17.9,1947010,13.8
2025-10,86.3,13.7,83.6,32,1191,86.8,16.4,1998878,13.9
2025-11,85.4,14.6,82.4,43,1187,88.6,16.8,2001974,13.2
2025-12,86.6,13.4,83.3,45,1212,87.6,16.4,2037069,13.4
2026-01,86.7,13.3,83.8,46,1298,89.9,15.6,2062923,14.8
2026-02,88.4,11.6,83,50,1253,90.5,16.5,2146565,14.6
2026-03,89.7,10.3,83.8,54,1240,89.7,14.8,2175645,16.7
2026-04,89.5,10.5,84.9,58,1277,90.8,14.4,2185473,16.9
2026-05,90,10,87.1,55,1220,91.4,15.3,2228468,18.2
2026-06,91.3,8.7,86.8,52,1098,94,14.7,2233502,19
